Area,Price,
0,abruzzi,2.87
1,eustachi,2.87
2,plinio,2.87
3,amendola,3.385
4,monte rosa,3.385
5,buonarroti,3.385
6,brera,6.141
7,duomo,6.141
8,cordusio,6.141
9,torino,6.141
10,cadorna,4.888
11,monti,4.888
12,boccaccio,4.888
13,castello,4.107
14,melzi d`eril,4.107
15,sarpi,4.107
16,cenisio,2.255
17,procaccini,2.255
18,firenze,2.255
19,diaz,5.274
20,fontana,5.274
21,europa,5.274
22,fiera,3.295
23,giulio cesare,3.295
24,sempione,3.295
25,libia,3.469
26,,3.469
27,xxii marzo,3.469
28,indipendenza,3.469
29,mascagni,4.21
30,porta vittoria,4.21
31,porta romana,4.21
32,missori,4.848
33,italia,4.848
34,vetra,4.848
35,s. eufemia,4.848
36,naviglio grande,2.83
37,argelati,2.83
38,san gottardo,2.83
39,pagano,4.047
40,monti,4.047
41,wagner,4.047
42,piemonte,3.174
43,washigton,3.174
44,cimarosa,3.174
45,porta ticinese,3.603
46,porta genova,3.603
47,magenta,3.603
48,regina giovanna,3.169
49,pisacane,3.169
50,castel morrone,3.169
51,scala,7.781
52,manzoni,7.781
53,vittorio emanuele,7.781
54,san babila,7.781
55,solari,2.826
56,napoli,2.826
57,savona,2.826
58,stazione centrale,3.24
59,gioia,3.24
60,zara,3.24
61,tabacchi,2.657
62,sarfatti,2.657
63,crema,2.657
64,turati,4.415
65,moscova,4.415
66,repubblica,4.415
67,venezia,5.692
68,majno,5.692
69,monforte,5.692
70,,
71,argonne,2.341
72,viale corsica,2.341
73,aspromonte,2.176
74,porpora,2.176
75,teodosio,2.176
76,barona,2.069
77,famagosta,2.069
78,faenza,2.069
79,boncompagni,1.943
80,toffetti,1.943
81,bacchiglione,1.943
82,bovisa,1.849
83,bausan,1.849
84,imbonati,1.849
85,bovisasca,1.96
86,affori,1.96
87,p. rossi,1.96
88,cagnola,2.199
89,achille,2.199
90,papa,2.199
91,tiro segno,2.199
92,forlanini,1.963
93,mecenate,1.963
94,rogoredo,1.963
95,fulvio testi,2.006
96,bicocca,2.006
97,ca` granda,2.006
98,giambellino,2.121
99,tirana,2.121
100,frattini,2.121
101,ippodromo,2.822
102,caprilli,2.822
103,monte stella,2.822
104,lambrate,1.951
105,rubattino,1.951
106,folli,1.951
107,largo boccioni,1.679
108,aldini,1.679
109,lopez,1.679
110,leonardo da vinci,2.479
111,gorini,2.479
112,lorenteggio,2.002
113,inganni,2.002
114,bisceglie,2.002
115,loreto,2.132
116,turro,2.132
117,padova,2.132
118,montegani,2.014
119,cermentate,2.014
120,vigentino,2.014
121,monza,1.872
122,precotto,1.872
123,gorla,1.872
124,musocco,1.841
125,varesina,1.841
126,certosa,1.841
127,niguarda,2.046
128,ornato,2.046
129,novara,1.837
130,san carlo,1.837
131,amati,1.837
132,omero,2.014
133,gabriele rosa,2.014
134,brenta,2.014
135,ortomercato,2.243
136,molise,2.243
137,piranesi,2.243
138,p.lambro,2.092
139,feltre,2.092
140,udine,2.092
141,ronchetto,1.776
142,chiaravalle,1.776
143,ripamonti,1.776
144,san cristoforo,1.995
145,ronchetto,1.995
146,ludovico il moro,1.995
147,segesta,2.136
148,capecelatro,2.136
149,aretusa,2.136
150,siena,2.373
151,tripoli,2.373
152,brasilia,2.373
153,zara,2.05
154,istria,2.05
155,murat,2.05
156,,
157,baggio,1.832
158,q. romano,1.832
159,q. cagnino,1.832
160,gallaratese,1.876
161,lampugnano,1.876
162,figino,1.876
163,missaglia,1.624
164,chiesa rossa,1.624
165,gratosoglio,1.624
166,quarto oggiaro,1.589
167,roserio,1.589
168,amoretti,1.589
